"word_1","word_2","contrast_word_1","contrast_word_2","match","type","speaker","speaker_1_word_1","speaker_1_word_2","speaker_2_word_1","speaker_2_word_2","sound1","sound2"
"jiao_2","jiao_2","aveolar","aveolar",1,"affricates",1,"FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3"
"qiao_2","qiao_2","aveolar","aveolar",1,"affricates",1,"FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3"
"zhao_2","jiao_2","retroflexive","aveolar",0,"affricates",1,"FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3"
"chao_2","qiao_2","retroflexive","aveolar",0,"affricates",1,"FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3"
"jiao_2","zhao_2","aveolar","retroflexive",0,"affricates",1,"FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3"
"qiao_2","chao_2","aveolar","retroflexive",0,"affricates",1,"FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3"
"zhao_2","zhao_2","retroflexive","retroflexive",1,"affricates",1,"FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3"
"chao_2","chao_2","retroflexive","retroflexive",1,"affricates",1,"FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3"
"jiao_4","jiao_4","aveolar","aveolar",1,"affricates",1,"FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3"
"qiao_4","qiao_4","aveolar","aveolar",1,"affricates",1,"FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3"
"zhao_4","jiao_4","retroflexive","aveolar",0,"affricates",1,"FV1_zhao_4_.mp3","FV2_jiao_4_.mp3","FV1_zhao_4_.mp3","FV2_jiao_4_.mp3","FV1_zhao_4_.mp3","FV2_jiao_4_.mp3"
"chao_4","qiao_4","retroflexive","aveolar",0,"affricates",1,"FV1_chao_4_.mp3","FV2_qiao_4_.mp3","FV1_chao_4_.mp3","FV2_qiao_4_.mp3","FV1_chao_4_.mp3","FV2_qiao_4_.mp3"
"jiao_4","zhao_4","aveolar","retroflexive",0,"affricates",1,"FV1_jiao_4_.mp3","FV2_zhao_4_.mp3","FV1_jiao_4_.mp3","FV2_zhao_4_.mp3","FV1_jiao_4_.mp3","FV2_zhao_4_.mp3"
"qiao_4","chao_4","aveolar","retroflexive",0,"affricates",1,"FV1_qiao_4_.mp3","FV2_chao_4_.mp3","FV1_qiao_4_.mp3","FV2_chao_4_.mp3","FV1_qiao_4_.mp3","FV2_chao_4_.mp3"
"zhao_4","zhao_4","retroflexive","retroflexive",1,"affricates",1,"FV1_zhao_4_.mp3","FV2_zhao_4_.mp3","FV1_zhao_4_.mp3","FV2_zhao_4_.mp3","FV1_zhao_4_.mp3","FV2_zhao_4_.mp3"
"chao_4","chao_4","retroflexive","retroflexive",1,"affricates",1,"FV1_chao_4_.mp3","FV2_chao_4_.mp3","FV1_chao_4_.mp3","FV2_chao_4_.mp3","FV1_chao_4_.mp3","FV2_chao_4_.mp3"
"ba_2","ba_2","2","2",1,"tone",1,"FV1_ba_2_.mp3","FV2_ba_2_.mp3","FV1_ba_2_.mp3","FV2_ba_2_.mp3","FV1_ba_2_.mp3","FV2_ba_2_.mp3"
"bu_2","bu_2","2","2",1,"tone",1,"FV1_bu_2_.mp3","FV2_bu_2_.mp3","FV1_bu_2_.mp3","FV2_bu_2_.mp3","FV1_bu_2_.mp3","FV2_bu_2_.mp3"
"la_2","la_2","2","2",1,"tone",1,"FV1_la_2_.mp3","FV2_la_2_.mp3","FV1_la_2_.mp3","FV2_la_2_.mp3","FV1_la_2_.mp3","FV2_la_2_.mp3"
"lu_2","lu_2","2","2",1,"tone",1,"FV1_lu_2_.mp3","FV2_lu_2_.mp3","FV1_lu_2_.mp3","FV2_lu_2_.mp3","FV1_lu_2_.mp3","FV2_lu_2_.mp3"
"ba_4","ba_2","4","2",0,"tone",1,"FV1_ba_4_.mp3","FV2_ba_2_.mp3","FV1_ba_4_.mp3","FV2_ba_2_.mp3","FV1_ba_4_.mp3","FV2_ba_2_.mp3"
"bu_4","bu_2","4","2",0,"tone",1,"FV1_bu_4_.mp3","FV2_bu_2_.mp3","FV1_bu_4_.mp3","FV2_bu_2_.mp3","FV1_bu_4_.mp3","FV2_bu_2_.mp3"
"la_4","la_2","4","2",0,"tone",1,"FV1_la_4_.mp3","FV2_la_2_.mp3","FV1_la_4_.mp3","FV2_la_2_.mp3","FV1_la_4_.mp3","FV2_la_2_.mp3"
"lu_4","lu_2","4","2",0,"tone",1,"FV1_lu_4_.mp3","FV2_lu_2_.mp3","FV1_lu_4_.mp3","FV2_lu_2_.mp3","FV1_lu_4_.mp3","FV2_lu_2_.mp3"
"ba_2","ba_4","2","4",0,"tone",1,"FV1_ba_2_.mp3","FV2_ba_4_.mp3","FV1_ba_2_.mp3","FV2_ba_4_.mp3","FV1_ba_2_.mp3","FV2_ba_4_.mp3"
"bu_2","bu_4","2","4",0,"tone",1,"FV1_bu_2_.mp3","FV2_bu_4_.mp3","FV1_bu_2_.mp3","FV2_bu_4_.mp3","FV1_bu_2_.mp3","FV2_bu_4_.mp3"
"la_2","la_4","2","4",0,"tone",1,"FV1_la_2_.mp3","FV2_la_4_.mp3","FV1_la_2_.mp3","FV2_la_4_.mp3","FV1_la_2_.mp3","FV2_la_4_.mp3"
"lu_2","lu_4","2","4",0,"tone",1,"FV1_lu_2_.mp3","FV2_lu_4_.mp3","FV1_lu_2_.mp3","FV2_lu_4_.mp3","FV1_lu_2_.mp3","FV2_lu_4_.mp3"
"ba_4","ba_4","4","4",1,"tone",1,"FV1_ba_4_.mp3","FV2_ba_4_.mp3","FV1_ba_4_.mp3","FV2_ba_4_.mp3","FV1_ba_4_.mp3","FV2_ba_4_.mp3"
"bu_4","bu_4","4","4",1,"tone",1,"FV1_bu_4_.mp3","FV2_bu_4_.mp3","FV1_bu_4_.mp3","FV2_bu_4_.mp3","FV1_bu_4_.mp3","FV2_bu_4_.mp3"
"la_4","la_4","4","4",1,"tone",1,"FV1_la_4_.mp3","FV2_la_4_.mp3","FV1_la_4_.mp3","FV2_la_4_.mp3","FV1_la_4_.mp3","FV2_la_4_.mp3"
"lu_4","lu_4","4","4",1,"tone",1,"FV1_lu_4_.mp3","FV2_lu_4_.mp3","FV1_lu_4_.mp3","FV2_lu_4_.mp3","FV1_lu_4_.mp3","FV2_lu_4_.mp3"
"miao_1","miao_1",NA,NA,1,"filler",1,"FV1_miao_1_.mp3","FV2_miao_1_.mp3","FV1_miao_1_.mp3","FV2_miao_1_.mp3","FV1_miao_1_.mp3","FV2_miao_1_.mp3"
"tiao_1","miao_1",NA,NA,0,"filler",1,"FV1_tiao_1_.mp3","FV2_miao_1_.mp3","FV1_tiao_1_.mp3","FV2_miao_1_.mp3","FV1_tiao_1_.mp3","FV2_miao_1_.mp3"
"miao_1","tiao_1",NA,NA,0,"filler",1,"FV1_miao_1_.mp3","FV2_tiao_1_.mp3","FV1_miao_1_.mp3","FV2_tiao_1_.mp3","FV1_miao_1_.mp3","FV2_tiao_1_.mp3"
"tiao_1","tiao_1",NA,NA,1,"filler",1,"FV1_tiao_1_.mp3","FV2_tiao_1_.mp3","FV1_tiao_1_.mp3","FV2_tiao_1_.mp3","FV1_tiao_1_.mp3","FV2_tiao_1_.mp3"
"mang_1","mang_1",NA,NA,1,"filler",1,"FV1_mang_1_.mp3","FV2_mang_1_.mp3","FV1_mang_1_.mp3","FV2_mang_1_.mp3","FV1_mang_1_.mp3","FV2_mang_1_.mp3"
"tang_1","mang_1",NA,NA,0,"filler",1,"FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3"
"mang_1","tang_1",NA,NA,0,"filler",1,"FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3"
"tang_1","tang_1",NA,NA,1,"filler",1,"FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3"
"gei_3","gei_3",NA,NA,1,"filler",1,"FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3"
"hei_3","gei_3",NA,NA,0,"filler",1,"FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3"
"gei_3","hei_3",NA,NA,0,"filler",1,"FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3"
"hei_3","hei_3",NA,NA,1,"filler",1,"FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3"
"gai_3","gai_3",NA,NA,1,"filler",1,"FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3"
"hai_3","gai_3",NA,NA,0,"filler",1,"FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3"
"gai_3","hai_3",NA,NA,0,"filler",1,"FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3"
"hai_3","hai_3",NA,NA,1,"filler",0,"FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3"
"jiao_2","jiao_2","aveolar","aveolar",1,"affricates",0,"FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3"
"qiao_2","qiao_2","aveolar","aveolar",1,"affricates",0,"FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3"
"zhao_2","jiao_2","retroflexive","aveolar",0,"affricates",0,"FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3"
"chao_2","qiao_2","retroflexive","aveolar",0,"affricates",0,"FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3"
"jiao_2","zhao_2","aveolar","retroflexive",0,"affricates",0,"FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3"
"qiao_2","chao_2","aveolar","retroflexive",0,"affricates",0,"FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3"
"zhao_2","zhao_2","retroflexive","retroflexive",1,"affricates",0,"FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3"
"chao_2","chao_2","retroflexive","retroflexive",1,"affricates",0,"FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3"
"jiao_4","jiao_4","aveolar","aveolar",1,"affricates",0,"FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3"
"qiao_4","qiao_4","aveolar","aveolar",1,"affricates",0,"FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3"
"zhao_4","jiao_4","retroflexive","aveolar",0,"affricates",0,"FV1_zhao_4_.mp3","FV2_jiao_4_.mp3","FV1_zhao_4_.mp3","FV2_jiao_4_.mp3","FV1_zhao_4_.mp3","FV2_jiao_4_.mp3"
"chao_4","qiao_4","retroflexive","aveolar",0,"affricates",0,"FV1_chao_4_.mp3","FV2_qiao_4_.mp3","FV1_chao_4_.mp3","FV2_qiao_4_.mp3","FV1_chao_4_.mp3","FV2_qiao_4_.mp3"
"jiao_4","zhao_4","aveolar","retroflexive",0,"affricates",0,"FV1_jiao_4_.mp3","FV2_zhao_4_.mp3","FV1_jiao_4_.mp3","FV2_zhao_4_.mp3","FV1_jiao_4_.mp3","FV2_zhao_4_.mp3"
"qiao_4","chao_4","aveolar","retroflexive",0,"affricates",0,"FV1_qiao_4_.mp3","FV2_chao_4_.mp3","FV1_qiao_4_.mp3","FV2_chao_4_.mp3","FV1_qiao_4_.mp3","FV2_chao_4_.mp3"
"zhao_4","zhao_4","retroflexive","retroflexive",1,"affricates",0,"FV1_zhao_4_.mp3","FV2_zhao_4_.mp3","FV1_zhao_4_.mp3","FV2_zhao_4_.mp3","FV1_zhao_4_.mp3","FV2_zhao_4_.mp3"
"chao_4","chao_4","retroflexive","retroflexive",1,"affricates",0,"FV1_chao_4_.mp3","FV2_chao_4_.mp3","FV1_chao_4_.mp3","FV2_chao_4_.mp3","FV1_chao_4_.mp3","FV2_chao_4_.mp3"
"ba_2","ba_2","2","2",1,"tone",0,"FV1_ba_2_.mp3","FV2_ba_2_.mp3","FV1_ba_2_.mp3","FV2_ba_2_.mp3","FV1_ba_2_.mp3","FV2_ba_2_.mp3"
"bu_2","bu_2","2","2",1,"tone",0,"FV1_bu_2_.mp3","FV2_bu_2_.mp3","FV1_bu_2_.mp3","FV2_bu_2_.mp3","FV1_bu_2_.mp3","FV2_bu_2_.mp3"
"la_2","la_2","2","2",1,"tone",0,"FV1_la_2_.mp3","FV2_la_2_.mp3","FV1_la_2_.mp3","FV2_la_2_.mp3","FV1_la_2_.mp3","FV2_la_2_.mp3"
"lu_2","lu_2","2","2",1,"tone",0,"FV1_lu_2_.mp3","FV2_lu_2_.mp3","FV1_lu_2_.mp3","FV2_lu_2_.mp3","FV1_lu_2_.mp3","FV2_lu_2_.mp3"
"ba_4","ba_2","4","2",0,"tone",0,"FV1_ba_4_.mp3","FV2_ba_2_.mp3","FV1_ba_4_.mp3","FV2_ba_2_.mp3","FV1_ba_4_.mp3","FV2_ba_2_.mp3"
"bu_4","bu_2","4","2",0,"tone",0,"FV1_bu_4_.mp3","FV2_bu_2_.mp3","FV1_bu_4_.mp3","FV2_bu_2_.mp3","FV1_bu_4_.mp3","FV2_bu_2_.mp3"
"la_4","la_2","4","2",0,"tone",0,"FV1_la_4_.mp3","FV2_la_2_.mp3","FV1_la_4_.mp3","FV2_la_2_.mp3","FV1_la_4_.mp3","FV2_la_2_.mp3"
"lu_4","lu_2","4","2",0,"tone",0,"FV1_lu_4_.mp3","FV2_lu_2_.mp3","FV1_lu_4_.mp3","FV2_lu_2_.mp3","FV1_lu_4_.mp3","FV2_lu_2_.mp3"
"ba_2","ba_4","2","4",0,"tone",0,"FV1_ba_2_.mp3","FV2_ba_4_.mp3","FV1_ba_2_.mp3","FV2_ba_4_.mp3","FV1_ba_2_.mp3","FV2_ba_4_.mp3"
"bu_2","bu_4","2","4",0,"tone",0,"FV1_bu_2_.mp3","FV2_bu_4_.mp3","FV1_bu_2_.mp3","FV2_bu_4_.mp3","FV1_bu_2_.mp3","FV2_bu_4_.mp3"
"la_2","la_4","2","4",0,"tone",0,"FV1_la_2_.mp3","FV2_la_4_.mp3","FV1_la_2_.mp3","FV2_la_4_.mp3","FV1_la_2_.mp3","FV2_la_4_.mp3"
"lu_2","lu_4","2","4",0,"tone",0,"FV1_lu_2_.mp3","FV2_lu_4_.mp3","FV1_lu_2_.mp3","FV2_lu_4_.mp3","FV1_lu_2_.mp3","FV2_lu_4_.mp3"
"ba_4","ba_4","4","4",1,"tone",0,"FV1_ba_4_.mp3","FV2_ba_4_.mp3","FV1_ba_4_.mp3","FV2_ba_4_.mp3","FV1_ba_4_.mp3","FV2_ba_4_.mp3"
"bu_4","bu_4","4","4",1,"tone",0,"FV1_bu_4_.mp3","FV2_bu_4_.mp3","FV1_bu_4_.mp3","FV2_bu_4_.mp3","FV1_bu_4_.mp3","FV2_bu_4_.mp3"
"la_4","la_4","4","4",1,"tone",0,"FV1_la_4_.mp3","FV2_la_4_.mp3","FV1_la_4_.mp3","FV2_la_4_.mp3","FV1_la_4_.mp3","FV2_la_4_.mp3"
"lu_4","lu_4","4","4",1,"tone",0,"FV1_lu_4_.mp3","FV2_lu_4_.mp3","FV1_lu_4_.mp3","FV2_lu_4_.mp3","FV1_lu_4_.mp3","FV2_lu_4_.mp3"
"miao_1","miao_1",NA,NA,1,"filler",0,"FV1_miao_1_.mp3","FV2_miao_1_.mp3","FV1_miao_1_.mp3","FV2_miao_1_.mp3","FV1_miao_1_.mp3","FV2_miao_1_.mp3"
"tiao_1","miao_1",NA,NA,0,"filler",0,"FV1_tiao_1_.mp3","FV2_miao_1_.mp3","FV1_tiao_1_.mp3","FV2_miao_1_.mp3","FV1_tiao_1_.mp3","FV2_miao_1_.mp3"
"miao_1","tiao_1",NA,NA,0,"filler",0,"FV1_miao_1_.mp3","FV2_tiao_1_.mp3","FV1_miao_1_.mp3","FV2_tiao_1_.mp3","FV1_miao_1_.mp3","FV2_tiao_1_.mp3"
"tiao_1","tiao_1",NA,NA,1,"filler",0,"FV1_tiao_1_.mp3","FV2_tiao_1_.mp3","FV1_tiao_1_.mp3","FV2_tiao_1_.mp3","FV1_tiao_1_.mp3","FV2_tiao_1_.mp3"
"mang_1","mang_1",NA,NA,1,"filler",0,"FV1_mang_1_.mp3","FV2_mang_1_.mp3","FV1_mang_1_.mp3","FV2_mang_1_.mp3","FV1_mang_1_.mp3","FV2_mang_1_.mp3"
"tang_1","mang_1",NA,NA,0,"filler",0,"FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3"
"mang_1","tang_1",NA,NA,0,"filler",0,"FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3"
"tang_1","tang_1",NA,NA,1,"filler",0,"FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3"
"gei_3","gei_3",NA,NA,1,"filler",0,"FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3"
"hei_3","gei_3",NA,NA,0,"filler",0,"FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3"
"gei_3","hei_3",NA,NA,0,"filler",0,"FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3"
"hei_3","hei_3",NA,NA,1,"filler",0,"FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3"
"gai_3","gai_3",NA,NA,1,"filler",0,"FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3"
"hai_3","gai_3",NA,NA,0,"filler",0,"FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3"
"gai_3","hai_3",NA,NA,0,"filler",0,"FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3"
"hai_3","hai_3",NA,NA,1,"filler",0,"FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3"
